Nom,Prix,Catégorie,Note,Nb_avis,En_stock,Lien,Site
"Câble imprimante, 1,5 m",6.9,Informatique,,,Oui,https://fnac.tn/connectique/3555-cable-imprimante-15-m-4047443442277.html,Fnac
Souris Optique SBOX Noir/Bleu/Rouge,10.9,Informatique,,,Oui,https://fnac.tn/clavier-souris/3431-souris-optique-sbox-noir-bleu-rouge.html,Fnac
Tapis Souris Gamer White Shark MP-1964,14.9,Informatique,,,Oui,https://fnac.tn/clavier-souris/3457-tapis-souris-gamer-white-shark-mp-1964.html,Fnac
CALCULATRICE REBELL SHC108 -solaire,14.9,Informatique,,,Oui,https://fnac.tn/calculatrice/33323-calculatrice-rebell-shc108-solaire-8595179505996.html,Fnac
CALCULATRICE REBELL SHC208 -NOIR -solaire,14.9,Informatique,,,Oui,https://fnac.tn/calculatrice/31797-calculatrice-rebell-shc208-noir-solaire-8595179506023.html,Fnac
CLE USB 32G METALIQUE,14.99,Informatique,,,Oui,https://fnac.tn/disque-dur-ssd-et-stockage/3421-cle-usb-32g-metalique-4713218468802.html,Fnac
CLE USB 32G Rouge AUV240-32G-RRD,15.9,Informatique,,,Oui,https://fnac.tn/disque-dur-ssd-et-stockage/3420-cle-usb-32g-rouge-auv240-32g-rrd-4713218466150.html,Fnac
FLASH DISQUE USB 3.0 VERBATIM 32GB STORE N GO V3 G,18.0,Informatique,,,Oui,https://fnac.tn/disque-dur-ssd-et-stockage/3427-flash-disque-usb-30-verbatim-32gb-store-n-go-v3-g-023942491736.html,Fnac
CARTE MICRO SD-HC 32GB+ADAP VERBATIM CLASS-10 (REF,18.0,Informatique,,,Oui,https://fnac.tn/disque-dur-ssd-et-stockage/3562-carte-micro-sd-hc-32gbadap-verbatim-class-10-ref-023942440833.html,Fnac
FLASH DISK USB 2.0 VERBATIM PINSTRIPE 64GB NOIR,18.0,Informatique,,,Oui,https://fnac.tn/disque-dur-ssd-et-stockage/3424-flash-disk-usb-20-verbatim-pinstripe-64gb-noir.html,Fnac
"Hama USB-C Adapter, USB-C plug - micro USB 2.0 soc",19.0,Informatique,,,Oui,https://fnac.tn/connectique/3560-hama-usb-c-adapter-usb-c-plug-micro-usb-20-soc-4047443323088.html,Fnac
CLE USB AUV240 64GB BLACK/White RETAIL,19.9,Informatique,,,Oui,https://fnac.tn/disque-dur-ssd-et-stockage/3423-cle-usb-auv240-64gb-black-white-retail-4713218465405.html,Fnac
CARTE MÉMOIRE MICRO SD AVEC ADAPTATEUR - 32GO CLA,19.9,Informatique,,,Oui,https://fnac.tn/disque-dur-ssd-et-stockage/3412-carte-memoire-micro-sd-avec-adaptateur-32go-cla-4712702625905.html,Fnac
CALCULATRICE REBELL SHC312-solaire,19.9,Informatique,,,Oui,https://fnac.tn/accueil/9993-calculatrice-rebell-shc312-solaire.html,Fnac
CALCULATRICE REBELL SDC 410 -solaire,22.0,Informatique,,,Oui,https://fnac.tn/accueil/10185-calculatrice-rebell-sdc-410-solaire.html,Fnac
HUB USB 2.0- 4 PORTS SBOX,22.9,Informatique,,,Oui,https://fnac.tn/connectique/3552-hub-usb-20-4-ports-sbox.html,Fnac
SOURIS OPTIQUE SANS FIL 6D AVEC MOLETTE DE DEFILEM,23.0,Informatique,,,Oui,https://fnac.tn/clavier-souris/3520-souris-optique-sans-fil-6d-avec-molette-de-defilem.html,Fnac
CARTE MEMOIRE MICRO SD 64 G ADAPTATEUR CL10,24.99,Informatique,,,Oui,https://fnac.tn/disque-dur-ssd-et-stockage/3561-carte-memoire-micro-sd-64-g-adaptateur-cl10-4713218461933.html,Fnac
REBELL SC2030 NOIR -136F - box,25.0,Informatique,,,Oui,https://fnac.tn/accueil/10414-rebell-sc2030-noir-136f-box.html,Fnac
CALCULATRICE REBELL SDC912 ROSE,26.0,Informatique,,,Oui,https://fnac.tn/accueil/9909-calculatrice-rebell-sdc912-rose.html,Fnac
CALCULATRICE REBELL SDC912 ORONGE,26.0,Informatique,,,Oui,https://fnac.tn/calculatrice/10304-calculatrice-rebell-sdc912-oronge.html,Fnac
